","A) Procuring, inducing Children for the sake of prostitution (Sec. 5)",B) Detaining a person in premises where prostitution is carried on (Sec. 6),C) Others,,,,"Cyber Crimes/ Information Technology Act (Col.67+Col.68)
",A) Publishing or Transmitting of material depicting children in sexually explicit act,B) Other Cyber Crimes against Children,,,
,,"Murder (Sec.302 IPC) (Col.4+Col.5)
",Murder with Rape/POCSO,Other Murder,,,,,,,,,Kidnapping and Abduction (Sec. 363 IPC) (Col.15+Col.16),A) Missing Children Deemed as Kidnapped,B) Other Kidnapping & Abduction,,,,,,,,,,,,,,,,,,,,,,Section 4 & 6 of POCSO Act or POCSO Act  (Section 4 & 6) r/w Section 376 IPC (Total)  (Col.39+Col.40),A) Girls,B) Boys,"Section 8 & 10 of POCSO Act or POCSO Act (Section 8 & 10)  r/w Section 354 IPC (Total)(Col.42+Col.43)
",A) Girls,B) Boys,"Section 12 of POCSO Act or POCSO Act (Section 12) r/w Section 509 IPC (Total) (Col.45+Col.46)
",A) Girls,B) Boys,"Section 14 & 15 of POCSO Act (Total) (Col.48+Col.49)
",A) Girls,B) Boys,"POCSO Act  r/w Section 377 IPC (Total) (Col.51+ Col.52)
",A) Girls,B) Boys,"Sections 17 to 22 of POCSO Act (Col.54+Col.55)
",A) Girls,B) Boys,,,,,,,,,,,,,,,,
12,Rajahmundry,2,0,2,1,0,0,0,0,3,0,26,19,10,9,0,0,0,7,0,0,0,0,0,0,0,0,0,0,39,0,17,4,23,115,2,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,6,121
13,Srikakulam,1,0,1,1,0,0,0,0,0,0,11,5,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,41,0,14,1,12,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,83
14,Tirupathi Urban,1,0,1,0,0,0,1,0,2,0,4,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,7,1,5,0,4,25,19,11,11,0,5,5,0,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,22,47
15,Vijayawada City,0,0,0,0,1,0,5,1,0,0,11,9,0,9,0,0,0,2,0,0,0,1,0,0,0,0,0,0,33,2,40,2,62,158,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,2,2,0,2,7,165
16,Vijayawada Railway,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
17,Visakha Rural,0,0,0,0,0,0,0,0,0,0,14,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,20,0,11,57,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,77
18,Visakhapatnam,2,0,2,0,0,0,0,2,0,1,53,53,19,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,19,3,3,136,23,16,16,0,2,2,0,4,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,24,160
19,Vizianagaram,2,0,2,0,1,0,0,2,3,1,16,14,2,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,22,2,8,0,3,60,31,27,27,0,1,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,91
20,West Godavari,2,0,2,0,0,0,0,0,8,0,30,12,0,12,0,0,0,7,1,0,10,0,0,0,0,0,0,0,49,4,77,7,3,180,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,23,203
,Total Districts ,34,4,30,11,4,11,7,9,63,2,487,353,78,275,1,0,0,67,53,0,13,14,0,0,0,0,0,0,577,40,513,33,280,2085,454,272,271,1,102,102,0,65,64,1,3,1,2,1,0,1,11,11,0,15,2,13,6,6,0,0,37,32,0,15,15,0,4,563,2648
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State: Arunachal Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Anjaw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Changlang,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
3,Crime Branch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Dibang Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Kameng East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
6,Kameng West,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
7,Kurung Kumey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
8,Lohit,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
