","A) Procuring, inducing Children for the sake of prostitution (Sec. 5)",B) Detaining a person in premises where prostitution is carried on (Sec. 6),C) Others,,,,"Cyber Crimes/ Information Technology Act (Col.67+Col.68)
",A) Publishing or Transmitting of material depicting children in sexually explicit act,B) Other Cyber Crimes against Children,,,
,,"Murder (Sec.302 IPC) (Col.4+Col.5)
",Murder with Rape/POCSO,Other Murder,,,,,,,,,Kidnapping and Abduction (Sec. 363 IPC) (Col.15+Col.16),A) Missing Children Deemed as Kidnapped,B) Other Kidnapping & Abduction,,,,,,,,,,,,,,,,,,,,,,Section 4 & 6 of POCSO Act or POCSO Act  (Section 4 & 6) r/w Section 376 IPC (Total)  (Col.39+Col.40),A) Girls,B) Boys,"Section 8 & 10 of POCSO Act or POCSO Act (Section 8 & 10)  r/w Section 354 IPC (Total)(Col.42+Col.43)
",A) Girls,B) Boys,"Section 12 of POCSO Act or POCSO Act (Section 12) r/w Section 509 IPC (Total) (Col.45+Col.46)
",A) Girls,B) Boys,"Section 14 & 15 of POCSO Act (Total) (Col.48+Col.49)
",A) Girls,B) Boys,"POCSO Act  r/w Section 377 IPC (Total) (Col.51+ Col.52)
",A) Girls,B) Boys,"Sections 17 to 22 of POCSO Act (Col.54+Col.55)
",A) Girls,B) Boys,,,,,,,,,,,,,,,,
24,Morigaon,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,58,38,38,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,68
25,Dima Hasao,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,13,19
26,Nagaon,0,0,0,0,0,0,0,0,105,127,73,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305,105,105,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,410
27,Nalbari,0,0,0,0,0,0,0,0,4,5,3,3,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,55,28,28,0,23,23,0,4,4,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,1,0,0,0,0,0,0,63,76
28,RPO,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
29,SOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,STF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Sibsagar,0,0,0,0,0,0,0,0,0,0,104,11,11,0,0,0,0,93,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,105,33,23,23,0,8,8,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,3,0,0,0,0,0,41,146
32,Sonitpur,0,0,0,0,0,0,0,0,0,0,177,60,0,60,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,177,25,10,10,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,202
33,Tinsukia,0,0,0,0,0,0,0,0,0,0,74,23,0,23,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,33,107,57,38,38,0,18,18,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,62,169
34,Udalguri,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,12,27,12,12,0,12,12,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,39
35,Sadia,0,0,0,0,0,0,0,0,0,0,8,2,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11
36,Majuli,0,0,0,0,0,0,0,0,0,0,14,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,6,6,0,1,1,0,2,2,0,1,1,0,0,0,0,1,1,0,2,0,2,0,0,0,0,0,2,0,1,1,0,0,16,30
37,Biswanath,3,1,2,0,0,0,0,0,0,0,82,33,33,0,0,0,0,0,29,0,20,4,0,0,0,0,0,0,0,0,0,0,13,102,36,24,24,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,15,15,0,0,54,156
38,Hojai,4,2,2,0,0,0,0,0,0,0,111,40,40,0,0,0,0,0,62,0,9,0,0,0,0,0,0,0,0,0,0,0,21,136,35,25,25,0,4,4,0,6,6,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,3,0,0,0,0,0,41,177
39,South Salmara,1,0,1,0,0,0,0,0,0,5,38,17,0,17,0,0,1,15,0,0,5,0,0,0,0,0,0,0,18,0,4,0,4,70,26,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,30,100
40,Charaideo,0,0,0,0,0,0,0,0,0,0,29,10,0,10,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,21,11,11,0,9,9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,50
,Total Districts ,30,6,24,3,3,0,0,0,119,144,2312,644,342,302,6,2,6,336,1052,0,266,32,1,0,1,0,0,0,18,0,14,0,157,2833,1496,1049,1049,0,322,322,0,120,120,0,4,4,0,0,0,0,1,1,0,79,27,52,0,0,0,0,40,138,0,36,21,15,0,1789,4622
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State: Bihar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Araria,0,0,0,0,0,0,0,0,129,5,81,0,0,0,0,0,0,72,0,0,9,0,0,0,0,0,0,0,0,0,0,0,93,308,31,25,25,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,48,356
2,Arwal,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,27,8,2,2,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,35
3,Aurangabad,0,0,0,0,0,0,0,0,0,0,72,8,8,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,37,10,10,0,18,18,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,109
4,Bagaha,1,0,1,0,16,0,0,0,11,0,28,19,0,19,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,27,85,26,14,14,0,10,10,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,111
5,Banka,0,0,0,0,0,0,0,0,0,0,30,10,10,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,21,14,14,0,5,5,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,51
6,Begusarai,8,0,8,0,0,0,0,0,0,0,75,8,0,8,0,3,1,53,0,0,10,0,0,0,0,0,0,0,0,0,0,0,26,109,14,4,4,0,3,3,0,4,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,123
7,Bettiah,6,0,6,0,14,0,0,0,35,33,33,33,33,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,59,182,90,22,22,0,53,53,0,14,14,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,94,276
8,Bhabhua,0,0,0,0,0,0,0,0,12,0,48,12,12,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,78,29,16,16,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,107
9,Bhagalpur,10,0,10,0,0,0,0,0,0,0,127,0,0,0,0,2,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,47,22,22,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,50,187
10,Bhojpur,0,0,0,0,0,0,0,0,0,0,125,20,11,9,0,0,0,89,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,125,50,15,15,0,26,26,0,4,4,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,175
11,Buxar,0,0,0,0,0,0,0,0,0,0,63,12,12,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,38,15,15,0,12,12,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,101
12,Darbhanga,0,0,0,0,0,0,0,0,0,0,96,22,22,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,41,24,24,0,12,12,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,137
13,Gaya,3,0,3,0,0,0,0,0,0,0,96,27,27,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,83,25,25,0,34,34,0,22,22,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,182
14,Gopalganj,5,1,4,0,0,0,0,0,0,0,88,37,37,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,11,3,3,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,104
15,Jamalpur Railway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Jamui,0,0,0,0,0,0,0,0,0,0,31,11,5,6,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,24,19,19,0,0,0,0,2,2,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,56
17,Jehanabad,0,0,0,0,0,0,0,0,0,0,29,4,4,0,0,0,0,22,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,29,18,5,5,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,20,49
18,Katihar,1,1,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,55,51,23,23,0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,106
19,Katihar Railway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5
20,Khagaria,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,23,3,3,0,7,7,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,26,85
21,Kishanganj,0,0,0,0,0,0,0,0,0,0,19,3,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,28,16,16,0,8,8,0,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,31,50
22,Lakhisarai,0,0,0,0,0,0,0,0,0,0,39,8,8,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,24,9,9,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,63
23,Madhepura,5,0,5,0,15,0,0,0,42,0,55,7,0,7,0,0,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,178,34,20,20,0,10,10,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,36,214
24,Madhubani,3,0,3,0,12,0,0,0,0,0,86,21,3,18,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,38,7,7,0,13,13,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,139
25,Motihari,10,0,10,0,70,0,0,0,138,88,50,20,20,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,528,93,40,40,0,28,28,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,621
26,Munger,6,0,6,0,0,0,0,0,18,0,45,16,16,0,0,7,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,77,54,6,6,0,4,4,0,0,0,0,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,55,132
27,Muzaffarpur,3,0,3,0,0,0,0,0,27,0,340,123,123,0,0,0,0,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370,61,23,23,0,32,32,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,62,432
28,Muzaffarpur Railway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
29,Nalanda,10,0,10,0,0,0,0,0,0,0,195,110,110,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,224,69,30,30,0,19,19,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,293
30,Naugachia,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,18,2,2,0,10,10,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,19,59
31,Nawadah,0,0,0,0,0,0,0,0,0,0,53,40,40,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,47,17,17,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,100
32,Patna,8,0,8,0,0,0,0,0,0,0,449,79,13,66,0,0,0,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,127,14,14,0,45,45,0,68,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,584
33,Patna Railway,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
34,Purnea,7,0,7,0,0,0,0,0,49,14,101,0,0,0,0,1,0,82,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,171,57,44,44,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,228
35,Rohtas,9,0,9,0,0,0,0,0,0,0,112,38,38,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,40,15,15,0,24,24,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,161
36,Saharsa,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16
37,Samastipur,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,41,25,25,0,14,14,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,186
38,Saran,1,0,1,0,0,0,0,0,0,0,228,48,48,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,47,14,14,0,22,22,0,8,8,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,276
39,Sheikhpura,0,0,0,0,7,0,0,0,15,0,8,4,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,42,29,6,6,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,71
40,Sheohar,0,0,0,0,2,0,0,0,19,0,32,1,0,1,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,55,6,4,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,61
41,Sitamarhi,0,0,0,0,0,0,0,0,0,0,55,26,26,0,0,0,1,28,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,58,35,22,22,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,93
42,Siwan,16,0,16,0,0,0,0,0,0,0,81,10,0,10,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,113,35,19,19,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,148
43,Supaul,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,19,19,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,33
44,Vaishali,0,0,0,0,0,0,0,0,0,0,241,0,0,0,0,0,0,241,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,244,25,11,11,0,9,9,0,3,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,269
45,Economic Offences Unit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Anti Terrorist Squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Total Districts ,112,2,110,0,136,0,0,0,495,140,3539,778,633,145,0,13,4,2688,0,0,56,13,3,2,1,0,0,0,1,5,43,0,476,4963,1591,628,628,0,646,646,0,198,198,0,106,106,0,9,1,8,4,4,0,0,0,0,8,7,1,0,3,5,0,1,1,0,20,1628,6591
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State: Chhattisgarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Balod,1,0,1,0,0,0,3,0,3,0,37,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,70,81,51,51,0,14,14,0,1,1,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,151
2,Balodbazar,3,0,3,1,0,0,0,0,16,0,104,97,0,97,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,132,94,63,63,0,24,24,0,1,1,0,0,0,0,0,0,0,6,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,95,227
3,Balrampur,1,1,0,2,0,0,0,0,0,0,51,51,0,51,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,58,78,59,59,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,136
4,Bemetra,3,1,2,0,0,0,0,0,2,1,50,41,41,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,46,103,43,29,29,0,12,12,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,1,48,151
5,Bilaspur,0,0,0,0,0,0,1,2,33,0,230,37,0,37,0,0,0,193,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,269,99,55,55,0,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,368
6,Bizapur,1,0,1,0,0,0,0,0,0,0,18,18,0,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,21,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,30
7,Dantewara,0,0,0,0,1,0,0,0,0,0,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,26,16,11,11,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,42
8,Dhamtari,2,0,2,0,0,0,0,0,0,0,44,39,39,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,64,76,55,55,0,19,19,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,140
9,Durg,3,0,3,0,3,0,0,11,86,0,182,180,172,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,132,78,78,0,49,49,0,0,0,0,0,0,0,5,0,5,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,135,420
10,Gariyaband,5,0,5,0,0,1,0,0,15,0,15,14,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,59,66,54,54,0,11,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,125
11,GRP Raipur,0,0,0,0,0,0,0,3,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9
12,Jagdalpur,1,0,1,0,0,0,0,0,7,0,41,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,17,66,100,85,85,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,166
13,Janjgir,7,0,7,0,3,0,2,0,55,0,129,124,0,124,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,237,147,102,102,0,40,40,0,3,3,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,384
14,Jashpur,5,0,5,0,1,0,0,0,2,1,61,49,0,49,0,0,0,8,0,0,4,9,0,0,0,0,0,0,0,0,0,1,16,96,80,73,73,0,6,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,176
15,Kabirdham,1,0,1,1,0,0,0,0,5,0,65,60,60,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,1,1,1,0,5,80,58,36,36,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,138
16,Kanker,3,0,3,1,0,0,0,0,0,0,32,31,0,31,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22,58,53,49,49,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,111
17,Kondagaon,0,0,0,0,0,0,0,0,0,0,27,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,42,35,35,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,43,71
18,Korba,3,0,3,0,1,0,0,0,17,0,64,64,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,15,122,72,72,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,194
19,Koriya,2,1,1,0,0,0,0,1,15,0,55,50,50,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,80,60,40,40,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,140
20,Mahasamund,0,0,0,0,0,0,0,0,5,0,43,42,0,42,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,50,54,45,45,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,104
21,Mungali,1,0,1,1,0,0,1,0,1,0,31,30,0,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,37,56,40,40,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,93
22,Narayanpur,0,0,0,0,0,0,0,0,0,0,8,7,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,29,27,27,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,37
23,Raigarh,4,0,4,0,1,0,0,3,9,0,146,145,0,145,0,0,1,0,0,0,0,2,0,0,0,0,0,0,11,0,24,0,7,207,125,101,100,1,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,126,333
24,Raipur,7,0,7,1,2,3,0,10,49,2,245,245,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,364,230,159,159,0,67,67,0,3,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,594
